date,open,high,low,close,volume,amount
2024-03-21 01:00:00,508.00,508.28,507.80,507.94,346,30448
2024-03-21 02:00:00,507.94,508.34,507.92,508.10,47,30440
2024-03-21 09:30:00,508.10,517.66,508.10,516.44,4893,31031
2024-03-21 10:45:00,516.44,517.00,515.94,516.20,1832,31296
2024-03-21 13:45:00,516.20,516.80,516.00,516.66,656,31277
2024-03-21 14:45:00,516.68,517.56,516.52,516.88,559,31339
2024-03-21 15:00:00,516.88,517.68,516.88,517.46,222,31321
2024-03-21 22:00:00,517.40,517.72,514.94,514.94,2545,31852
2024-03-21 23:00:00,514.90,515.02,511.62,511.94,3415,31642
2024-03-22 00:00:00,511.94,512.30,510.62,512.20,1618,31532
2024-03-22 01:00:00,512.20,513.18,511.76,513.12,461,31586
2024-03-22 02:00:00,513.12,513.70,512.80,513.24,419,31533
2024-03-22 09:30:00,513.24,514.02,513.12,513.30,467,31551
2024-03-22 10:45:00,513.30,514.00,512.82,513.52,1066,31573
2024-03-22 13:45:00,513.52,514.68,513.32,514.64,637,31552
2024-03-22 14:45:00,514.64,514.96,514.26,514.32,316,31484
2024-03-22 15:00:00,514.32,514.50,514.06,514.20,97,31451
2024-03-22 22:00:00,515.40,517.12,514.80,516.52,2162,31649
2024-03-22 23:00:00,516.70,517.00,515.60,516.14,1662,31697
2024-03-23 01:00:00,514.90,515.14,514.32,514.50,260,31658
2024-03-23 02:00:00,514.56,515.00,513.54,513.92,797,31650
2024-03-23 09:30:00,513.88,516.94,513.84,516.60,3898,33631
2024-03-25 00:00:00,516.08,516.12,514.82,514.90,1052,31656
2024-03-25 09:30:00,516.54,517.22,515.98,516.86,1930,33724
2024-03-25 10:45:00,516.84,518.44,516.28,516.28,1668,33812
2024-03-25 13:45:00,516.28,516.32,514.90,515.64,1388,33834
2024-03-25 14:45:00,515.64,516.24,515.28,515.58,1855,33926
2024-03-25 15:00:00,515.54,515.60,515.10,515.28,1111,33783
2024-03-25 22:00:00,516.70,517.52,516.02,516.96,1924,33923
2024-03-25 23:00:00,516.96,517.34,516.58,516.92,1133,33959
2024-03-26 00:00:00,516.92,516.92,516.40,516.54,337,33908
2024-03-26 01:00:00,516.54,517.06,516.48,516.78,187,33917
2024-03-26 02:00:00,516.78,516.88,516.58,516.84,180,33911
2024-03-26 09:30:00,516.84,516.90,515.58,515.60,1015,33901
2024-03-26 10:45:00,515.60,516.08,515.42,515.86,1457,34003
2024-03-26 13:45:00,515.86,516.62,515.70,516.12,788,34061
2024-03-26 14:45:00,516.12,516.60,516.10,516.26,958,34081
